Id,SalePrice
1461,118602.83378375963
1462,162224.15915532212
1463,189694.37584706862
1464,203151.26226637984
1465,206116.0907880232
1466,172463.92922195443
1467,182432.5304582361
1468,161901.89871528166
1469,191621.99032385883
1470,118151.06976496625
1471,174608.5746599827
1472,97221.33844780072
1473,99022.17254467172
1474,151028.03827922896
1475,123342.73110622955
1476,356963.3363827294
1477,254695.7768881667
1478,304309.718306969
1479,287186.1215588874
1480,527983.6260669763
1481,319763.5422959603
1482,211696.81430443743
1483,181473.70403533443
1484,164418.1938110557
1485,187187.21397079702
1486,189723.29031809268
1487,324982.9829854934
1488,212369.06943131564
1489,202455.00081600077
1490,258120.45086997116
1491,194482.97639707723
1492,89639.15252801677
1493,184943.12355854842
1494,297334.373120182
1495,288667.0029253137
1496,237610.7861190595
1497,173891.98932369234
1498,227033.43584467174
1499,157702.20361351589
1500,157111.72302008406
1501,182254.11840148512
1502,140870.3700969922
1503,309784.75553649955
1504,243698.53243367627
1505,232321.52888309534
1506,195972.29953426638
1507,255518.65167192626
1508,202378.07572024807
1509,161108.17772853145
1510,144611.96262650806
1511,204418.44571157184
1512,176978.18056019215
1513,139409.4040018406
1514,159861.94002939155
1515,199543.4314485891
1516,148901.92801436258
1517,181742.94295158432
1518,128487.08547513647
1519,206177.24296960904
1520,131995.98274936067
1521,137906.34176279898
1522,183383.25908295726
1523,114084.00920823161
1524,126719.6344511551
1525,123396.04777709085
1526,104470.2694233948
1527,110330.77956046561
1528,132890.7281934582
1529,156073.74290606554
1530,193686.6954293833
1531,102640.74138099657
1532,83629.4697945624
1533,155967.684734772
1534,97833.23964248289
1535,150116.7755539247
1536,105971.94488211439
1537,60708.778187943164
1538,146760.39661792404
1539,210621.4117198135
1540,78222.4483013322
1541,148223.8576210823
1542,146146.24345546545
1543,195301.38962392852
1544,80234.6862638378
1545,117071.6942217129
1546,138274.63625788322
1547,138594.78540403128
1548,135302.38598951025
1549,116932.60311988043
1550,136759.36723005914
1551,103049.23389227307
1552,140132.79952114896
1553,150666.88017041472
1554,117845.98571746278
1555,166346.12953641
1556,76768.31728417113
1557,138119.4892379816
1558,107154.44738046607
1559,61349.54153462567
1560,122978.25828636093
1561,125639.21418804732
1562,138830.3018861831
1563,126678.82067017145
1564,153547.40012701953
